4	السلام عليكم ورحمه الله وبركاته وحشتوني
35	الحكايه ده هو بطلنا داس عسكري قديم بعد
66	اللي الملك بنفسه جهزها له وقال له ان
96	الكلمتين الصغيرين اللي اتقالوا له وظيفه
127	وعلى ما الليل جا داس كان اخد قراره وقال
157	لتحت وقبل ما يلحق يستوعب ايه اللي بيحصل
187	هدف ويحمي الناس في اي وقت يقدر فيه واول
217	رعاياه وما فيش اي سبب يخليه ما يقفش في
248	ومستغربها هي ازاي ماعرفش يوصل للقريه دي
279	هكون حليفك وقال ان كل اللي هنا رعيا وفي
310	بيقول له يبقى راجل يحمي الضعيف والكلمات
341	وبعد ما حارب حرفيا ل 20 سنه طويله الحرب
373	حارب ضد المملكه على ملكيه ارض المراعي دي
404	بما انه يعني كان تبع المملكه قبل كده بس
435	اي لحظه كان قرن الانا هيتحول للاحمر فورا
465	بعدها قالت كده ببساطه وبشكل عابر ان هي
496	لما تترش في المكان ريحتها بتكذب الوحوش
526	على طول وبنشوفه بيطلع فاس الحرب بتاعه
557	عملاق من اول عمليه صيد ليه ده سالها
587	قيمه الراجل بتيجي من كونه شغال وتعبان
618	له الفطار وبعد لما اول قطمه قال لها ان
648	طاقه سلبيه ومسمومه وما حدش بيقدر ياكلها
680	الخيام الدائريه الكبيره لسه ما خلصتش بس
710	وحش كبير داس قال لها ان هو هيروح يبص تبص
740	مستخبيه بعيد عن العين وعلى على طول داس
771	نفسه واستخدم عزمته واقراته علشان يقوي
803	يخلص عليه بنكمل حكايتنا وبنشوف الان
834	اهل القريه وهم بيحتفلوا بس مش قادر يمنع
866	واحده بس من رجلين تنين الارض قيمتها تكفي
896	وبتقول له ان اهل الانه هيفرحوا جدا لو
928	ما رفضت تتجوز الاانه مش هتعرف تهرب من كل
959	مول بتشرح ان الاناكين مش بيمشوا على نفس
989	وقياده الناس وهي مش عاوزه التاريخ يعيد
1021	بيقول ان الناس لازم يكون سنهم 18 سنه على
1052	حاجه هيتقرر تعملها لكن ما كانش متوقع ان
1083	حاسه بوجود وحش جاي من الشمال وبتشرح ان
1114	الحقيقه غول ضخم ولما بيشوفوا حجم الغول
1145	وحشه قوي كده داس ما بيبقاش قدامه اي حل
1175	ذكيه بس الذكاء ده بيجي معاه نقطه ضعف
1208	ووافق من غير ما يشتكي ورؤيه رده فعله ده
1238	ناحيه الحقول المفتوحه وبيشوف بسرعه
1270	س وعد ان هو يحافظ على سريه قريه الاناكين
1300	بايديه الاثنين ديانا بتتفاجئ لما بتسمع
1330	على انه المنقذ البطل للمملكه وكمقابل
1360	وبيقسم الصيف نصين بالظبط الحارس على طول
1391	من داس وده لانه رفض طلبها وكمان عرض
1421	الصبح وهي بتطبخ وفجاه بتقول له ان في بني
1452	الخدمه في الجيش وده لانه مش عاوز ينتهي
1482	بتظهر من ما فيش هي وفرانسو وكلاوس
1512	خيمه جديده وكمان الرمح والدرع اللي
1543	تبتسم وبتقوم حاطه له اكل اكث في طبقه داس
1574	ما الوقت يفوت وقبل ما يمشي بيطلب من
1605	بعض وعواقب الصراع ده وصلت فعلا للحدود
1636	الستات الكبار دول مبهرين والست العجوزه
1666	وبيكون عارف ان كلهم سنهم فوق ال 70 سنه
1698	كلاوس بيستوعب ان داس لسه زي ما هو بالظبط
1728	كده بيرد ان دلوقتي بعد لما بقى في سكان
1759	التنين ويشتري عبيد داس على طول بيرد ان
1789	اخر اللورد الاقطاعي وابنه كانوا بيتسلوا
1820	شايف ضفضع بيتكلم عادي ومن غير تاخير بجان
1851	واول لما داس بيبص لهم بنشوف عين داس
1881	اهاليهم عرفوا ان خلاص مش هيقوم لهم قومه
1912	بيقرر ان هو يخلي البنات عنده وبيدفع
1943	كبيره عندهم ولما بيشوف رده فعلهم واحده
1974	في حياتهم طبعا ومره ثانيه كلاوز بيستوعب
2004	باين عليهم بشر ورغم كده هي بتؤمن ان هم
2034	الخرفان بتحاول ان هي تطمنهم وبتعرض صوفها
2065	البنتين هم ببساطه بيطلبوا من الكل يرجع
2097	ارض كاستس اخيرا نجح ورغم كده بعد ما عرف
2127	وقالت له ان الهاله بتاعه الدن بتنور ازرق
2158	بتاعه علشان المعامله الجافه بتاعته اول
2188	باله من القرن اللي في راسها وسالها هي
2219	ولما سمعت ده وافقت على المصطلح الغريب
2249	اللي الدن محتاج يسمعه انهار ساعتها من
2279	البشر وبيقول ان هو بيقدر يتحول لاشكال
2309	اللورد القديم لاقليم كاستس كان راجل قاسي
2341	بستات عبيد كانت كذبه تماما والستات دول
2371	والدن اعترف ان هو اتاثر مشاعريا لانه كان
2402	الاخر والدن قال ان هو بعد لما قابل دس
2433	التجار المتجولين ينشروا الاخبار عن قريته
2463	يعدي الموضوع بما انه هو اللي اخلف وعده
2494	وحظرت داس في السر ان في حد بيقرب داس
2524	وفي نفس الوقت قطاعوا الطرق كانوا
2554	النهار هتبقى انتحار حرفيا قطاع طرق سخروا
2586	مظبوطه جدا كانت بتصيبهم وهم طبعا مش
2618	بشده في مواجهه قديمه بينهم في المدينه
2650	الاخر وسابت داس مش عارف يقول ايه من
2682	بس مش للخضار ولما دس قالها ليه ماول هزت
2714	وقالت انها بتتمنى هو والانا يجيبوا اطفال
2745	الجواهر الانا ضحكت وشرحت ان ده غالبا
2777	كالعاده ومشيت وراه على طول وباستخدام
2809	ناحيه قاتل التنين المشهور علشان يهزموه
2840	الامدادات اللي وعد بيها وفي اللحظه اللي
2870	المعروفين بشعب الصحرا او شعب الفران ورغم
2901	علشان تسهل التجاره وداس ممنون جدا للكرم
2931	بيحرتوا الارض علشان الجنينه اللي بيخططوا
2962	وقال ان هي هتاخد كام يوم البنات بعد كده
2994	هو هيزعل بس لو السر عن حاجه وحشه غير كده
3025	لدرجه ان هي بتنبت ثاني يوم على طول وطبعا
3056	وافقوا في الاخر ياخدوا الصناديق بس طبعا
3086	دفعه ثانيه لكن لسه برده الارض ناشفه وفي
3117	العائل محبوس بين صناديق الامدادات ومن
3141	سلام
